,mass A,,
t,x,y,
6.233,0.563,9.353E-2
6.267,0.564,9.355E-2
6.300,0.566,9.459E-2
6.333,0.572,9.308E-2
6.367,0.576,9.402E-2
6.400,0.580,9.442E-2
6.433,0.581,9.476E-2
6.467,0.586,9.378E-2
6.500,0.592,9.470E-2
6.533,0.599,9.379E-2
6.567,0.603,9.430E-2
6.600,0.605,9.320E-2
6.633,0.607,9.267E-2
6.667,0.610,9.269E-2
6.700,0.611,9.346E-2
6.733,0.611,9.265E-2
6.767,0.611,9.269E-2
6.800,0.608,9.240E-2
6.833,0.607,9.292E-2
6.867,0.602,9.252E-2
6.900,0.598,9.227E-2
6.933,0.599,9.244E-2
6.967,0.594,9.389E-2
7.000,0.589,9.315E-2
7.033,0.584,9.361E-2
7.067,0.580,9.286E-2
7.100,0.579,9.315E-2
7.133,0.576,9.320E-2
7.167,0.575,9.296E-2
7.200,0.573,9.369E-2
7.233,0.573,9.328E-2
7.267,0.573,9.327E-2
7.300,0.574,9.321E-2
7.333,0.574,9.367E-2
7.367,0.576,9.354E-2
7.400,0.578,9.351E-2
7.433,0.580,9.317E-2
7.467,0.584,9.315E-2
7.500,0.589,9.271E-2
7.533,0.592,9.417E-2
7.567,0.594,9.312E-2
7.600,0.595,9.343E-2
7.633,0.598,9.269E-2
7.667,0.601,9.380E-2
7.700,0.602,9.386E-2
7.733,0.603,9.273E-2
7.767,0.604,9.288E-2
7.800,0.604,9.211E-2
7.833,0.604,9.213E-2
7.867,0.603,9.165E-2
7.900,0.601,9.266E-2
7.933,0.600,9.256E-2
7.967,0.597,9.266E-2
8.000,0.593,9.354E-2
8.033,0.590,9.243E-2
8.067,0.586,9.263E-2
8.100,0.584,9.257E-2
8.133,0.582,9.307E-2
8.167,0.582,9.270E-2
8.200,0.582,9.229E-2
8.233,0.582,9.251E-2
8.267,0.582,9.216E-2
8.300,0.582,9.226E-2
8.333,0.583,9.250E-2
8.367,0.583,9.296E-2
8.400,0.584,9.313E-2
8.433,0.584,9.387E-2
8.467,0.585,9.351E-2
8.500,0.586,9.324E-2
8.533,0.593,9.270E-2
8.567,0.593,9.240E-2
8.600,0.594,9.264E-2
8.633,0.596,9.266E-2
8.667,0.597,9.306E-2
8.700,0.597,9.251E-2
8.733,0.597,9.243E-2
8.767,0.600,9.227E-2
8.800,0.601,9.277E-2
8.833,0.600,9.251E-2
8.867,0.599,9.260E-2
8.900,0.600,9.271E-2
8.933,0.599,9.284E-2
8.967,0.598,9.255E-2
9.000,0.596,9.270E-2
9.033,0.592,9.323E-2
9.067,0.592,9.301E-2
9.100,0.591,9.292E-2
9.133,0.587,9.267E-2
9.167,0.587,9.296E-2
9.200,0.585,9.296E-2
9.233,0.583,9.300E-2
9.267,0.583,9.271E-2
9.300,0.583,9.278E-2
9.333,0.583,9.276E-2
9.367,0.583,9.296E-2
9.400,0.583,9.275E-2
9.433,0.583,9.279E-2
9.467,0.584,9.255E-2
9.500,0.584,9.282E-2
9.533,0.585,9.300E-2
9.567,0.585,9.328E-2
9.600,0.586,9.318E-2
9.633,0.588,9.263E-2
9.667,0.591,9.299E-2
9.700,0.592,9.292E-2
9.733,0.592,9.313E-2
9.767,0.593,9.239E-2
9.800,0.594,9.274E-2
9.833,0.595,9.286E-2
9.867,0.595,9.298E-2
9.900,0.595,9.299E-2
9.933,0.595,9.294E-2
9.967,0.595,9.297E-2
10.000,0.594,9.264E-2
10.033,0.593,9.220E-2
10.067,0.593,9.237E-2
10.100,0.592,9.177E-2
10.133,0.587,9.322E-2
10.167,0.585,9.336E-2
10.200,0.585,9.316E-2
10.233,0.585,9.356E-2
10.267,0.584,9.321E-2
10.300,0.584,9.277E-2
10.333,0.583,9.293E-2
10.367,0.583,9.287E-2
10.400,0.583,9.284E-2
10.433,0.583,9.281E-2
10.467,0.583,9.286E-2
10.500,0.584,9.286E-2
10.533,0.584,9.311E-2
10.567,0.585,9.307E-2
10.600,0.586,9.334E-2
10.633,0.587,9.301E-2
10.667,0.587,9.268E-2
10.700,0.591,9.298E-2
10.733,0.592,9.262E-2
10.767,0.592,9.268E-2
10.800,0.592,9.266E-2
10.833,0.592,9.295E-2
10.867,0.592,9.242E-2
10.900,0.591,9.252E-2
10.933,0.591,9.241E-2
10.967,0.591,9.271E-2
11.000,0.591,9.280E-2
11.033,0.591,9.269E-2
11.067,0.590,9.301E-2
11.100,0.590,9.289E-2
11.133,0.589,9.245E-2
11.167,0.588,9.287E-2
11.200,0.588,9.236E-2
11.233,0.588,9.244E-2
11.267,0.588,9.220E-2
11.300,0.587,9.246E-2
11.333,0.588,9.234E-2
11.367,0.588,9.253E-2
11.400,0.588,9.251E-2
11.433,0.588,9.335E-2
11.467,0.589,9.326E-2
11.500,0.589,9.316E-2
11.533,0.589,9.340E-2
11.567,0.589,9.344E-2
11.600,0.589,9.370E-2
11.633,0.589,9.384E-2
11.667,0.589,9.357E-2
11.700,0.589,9.344E-2
11.733,0.589,9.343E-2
11.767,0.590,9.307E-2
11.800,0.591,9.323E-2
11.833,0.591,9.308E-2
11.867,0.591,9.358E-2
11.900,0.591,9.351E-2
11.933,0.591,9.345E-2
11.967,0.591,9.351E-2
12.000,0.590,9.497E-2
12.033,0.590,9.419E-2
12.067,0.590,9.402E-2
12.100,0.590,9.375E-2
12.133,0.590,9.364E-2
12.167,0.589,9.343E-2
12.200,0.589,9.346E-2
12.233,0.589,9.367E-2
12.267,0.589,9.370E-2
12.300,0.588,9.281E-2
12.333,0.588,9.309E-2
12.367,0.588,9.290E-2
12.400,0.588,9.308E-2
12.433,0.588,9.312E-2
12.467,0.588,9.326E-2
12.500,0.588,9.329E-2
12.533,0.588,9.359E-2
12.567,0.589,9.379E-2
12.600,0.589,9.374E-2
12.633,0.589,9.401E-2
12.667,0.589,9.372E-2
12.700,0.589,9.370E-2
12.733,0.590,9.362E-2
12.767,0.589,9.368E-2
12.800,0.590,9.306E-2
12.833,0.590,9.319E-2
12.867,0.590,9.293E-2
12.900,0.590,9.319E-2
